Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
M_049,,,,,,16.85393311,47.75308830,163.890,Global,0.013,0.016,0.026,0.021,2.086,m,FLOAT,2024-10-08 11:48:44.5 UTC+02:00,2024-10-08 11:48:49.8 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,346.367,,Global CS,12,9,0,0,0
M_050,,,,,,16.85475790,47.75376509,163.780,Global,0.012,0.014,0.023,0.018,2.086,m,FLOAT,2024-10-08 11:52:15.6 UTC+02:00,2024-10-08 11:52:20.8 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,390.005,,Global CS,12,9,0,0,0
M_051,,,,,,16.85532461,47.75348480,163.921,Global,0.014,0.016,0.017,0.021,2.086,m,FIX,2024-10-08 11:55:14.6 UTC+02:00,2024-10-08 11:55:19.8 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,348.989,,Global CS,11,9,0,0,0
M_052,,,,,,16.85550573,47.75310072,163.900,Global,0.017,0.017,0.028,0.024,2.086,m,FLOAT,2024-10-08 11:58:00.6 UTC+02:00,2024-10-08 11:58:05.8 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,304.400,,Global CS,11,0,0,0,0
M_053,,,,,,16.85627919,47.75159493,163.818,Global,0.024,0.017,0.013,0.029,2.086,m,FIX,2024-10-08 12:03:33.6 UTC+02:00,2024-10-08 12:03:38.8 UTC+02:00,27,1.3,1.4,,,,16.85631028,47.75041728,166.507,130.951,,Global CS,11,9,0,0,0
M_054,,,,,,16.85629884,47.75126609,163.869,Global,0.022,0.017,0.021,0.028,2.086,m,FLOAT,2024-10-08 12:06:29.6 UTC+02:00,2024-10-08 12:06:34.6 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,94.385,,Global CS,11,9,3,0,0
M_055,,,,,,16.85654134,47.75098169,163.817,Global,0.019,0.017,0.023,0.025,2.086,m,FLOAT,2024-10-08 12:09:00.6 UTC+02:00,2024-10-08 12:09:05.6 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,65.124,,Global CS,10,9,0,0,1
M_056,,,,,,16.85649810,47.75067784,163.896,Global,0.012,0.012,0.024,0.018,2.086,m,FLOAT,2024-10-08 12:11:34.6 UTC+02:00,2024-10-08 12:11:39.6 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,32.219,,Global CS,10,9,0,0,1
M_057,,,,,,16.85780022,47.75076782,163.692,Global,0.011,0.011,0.010,0.016,2.086,m,FIX,2024-10-08 12:16:30.8 UTC+02:00,2024-10-08 12:16:36.0 UTC+02:00,27,1.4,1.5,,,,16.85631028,47.75041728,166.507,118.328,,Global CS,10,9,0,0,1
M_058,,,,,,16.85781306,47.75113078,163.684,Global,0.013,0.017,0.020,0.021,2.086,m,FLOAT,2024-10-08 12:19:18.6 UTC+02:00,2024-10-08 12:19:23.8 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,137.818,,Global CS,10,9,0,0,1
M_059,,,,,,16.85752378,47.75146483,163.717,Global,0.020,0.016,0.020,0.026,2.086,m,FLOAT,2024-10-08 12:23:26.4 UTC+02:00,2024-10-08 12:23:31.6 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,147.823,,Global CS,10,9,0,0,1
M_060,,,,,,16.85726814,47.75179457,163.590,Global,0.010,0.009,0.018,0.013,2.086,m,FLOAT,2024-10-08 12:26:21.9 UTC+02:00,2024-10-08 12:26:21.9 UTC+02:00,1,1.4,1.6,,,,16.85631028,47.75041728,166.507,169.148,,Global CS,10,9,0,0,1
M_061,,,,,,16.85692289,47.75194814,163.671,Global,0.014,0.011,0.012,0.018,2.086,m,FIX,2024-10-08 12:30:33.8 UTC+02:00,2024-10-08 12:30:38.8 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,176.312,,Global CS,10,9,0,0,0
M_062,,,,,,16.85683212,47.75099698,163.219,Global,0.069,0.092,0.109,0.116,2.086,m,FLOAT,2024-10-08 12:38:04.5 UTC+02:00,2024-10-08 12:38:09.7 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,75.358,,Global CS,11,0,0,0,1
M_063,,,,,,16.85733248,47.75112390,163.609,Global,0.009,0.014,0.021,0.016,2.086,m,FIX,2024-10-08 12:43:12.9 UTC+02:00,2024-10-08 12:43:17.9 UTC+02:00,26,1.4,1.6,,,,16.85631028,47.75041728,166.507,109.769,,Global CS,12,0,0,0,1
M_064,,,,,,16.85788658,47.75145001,163.399,Global,0.023,0.024,0.029,0.034,2.086,m,FLOAT,2024-10-08 12:45:54.3 UTC+02:00,2024-10-08 12:45:59.3 UTC+02:00,26,1.4,1.6,,,,16.85631028,47.75041728,166.507,164.816,,Global CS,12,9,0,0,1
M_065,,,,,,16.85819671,47.75178134,163.486,Global,0.010,0.010,0.010,0.014,2.086,m,FIX,2024-10-08 12:49:01.5 UTC+02:00,2024-10-08 12:49:01.5 UTC+02:00,1,1.3,1.5,,,,16.85631028,47.75041728,166.507,207.396,,Global CS,12,9,0,0,0
M_066,,,,,,16.85854316,47.75205810,163.686,Global,0.019,0.026,0.022,0.032,2.086,m,FLOAT,2024-10-08 12:52:45.3 UTC+02:00,2024-10-08 12:52:50.5 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,247.656,,Global CS,11,9,0,0,1
